x,y,z1,z2,z3,z4
0.7,1.8,-100.8734495,-0.624031401,-0.00393368,0.62796508
0.7,1.85,-100.8737851,-0.624257056,-0.003191629,0.627448684
0.7,1.9,-100.8740565,-0.624441674,-0.002571715,0.627013389
0.7,1.95,-100.8742744,-0.624591038,-0.002055798,0.626646836
0.7,2,-100.8744478,-0.624710485,-0.00162798,0.626338465
0.7,2.05,-100.8745843,-0.624805243,-0.001273975,0.626079218
0.7,2.1,-100.8746905,-0.624878485,-0.000982979,0.625861464
0.7,2.15,-100.8747718,-0.624932974,-0.000745656,0.62567863
0.7,2.2,-100.8748328,-0.624972456,-0.000552622,0.625525078
0.7,2.25,-100.8748774,-0.624999368,-0.000396661,0.625396029
0.7,2.3,-100.8749088,-0.625014868,-0.00027254,0.625287409
0.7,2.35,-100.8749297,-0.625021066,-0.000174698,0.625195763
0.7,2.4,-100.8749424,-0.625020702,-9.75E-05,0.625118239
0.7,2.45,-100.8749487,-0.625014947,-3.75E-05,0.625052484
0.7,2.5,-100.87495,-0.625004344,7.836e-06,0.624996508
0.7,2.55,-100.8749476,-0.624990373,4.17e-05,0.624948673
0.7,2.6,-100.8749424,-0.624975019,6.7322e-05,0.624907697
0.7,2.65,-100.874935,-0.62495889,8.6341e-05,0.624872549
0.7,2.7,-100.8749262,-0.624941778,9.9442e-05,0.624842335
0.7,2.75,-100.8749164,-0.624924008,0.000107709,0.624816299
0.7,2.8,-100.874906,-0.62490662,0.000112765,0.624793855
0.7,2.85,-100.8748952,-0.624890278,0.000115704,0.624774574
0.7,2.9,-100.8748842,-0.624874711,0.000116622,0.624758089
0.7,2.95,-100.8748732,-0.624859565,0.000115556,0.624744009
0.7,3,-100.8748624,-0.624845013,0.00011305,0.624731963
0.7,3.05,-100.8748518,-0.624831416,0.000109692,0.624721724
0.7,3.1,-100.8748417,-0.624819018,0.000105824,0.624713194
0.7,3.15,-100.8748319,-0.624807608,0.000101396,0.624706212
0.7,3.2,-100.8748225,-0.62479685,9.6319e-05,0.624700531
0.7,3.25,-100.8748137,-0.624786735,9.0866e-05,0.624695869
0.7,3.3,-100.8748054,-0.624777327,8.5291e-05,0.624692035
0.7,3.35,-100.8747976,-0.624768574,7.9557e-05,0.624689017
0.7,3.4,-100.8747903,-0.624760747,7.3917e-05,0.62468683
0.7,3.45,-100.8747836,-0.624753626,6.8267e-05,0.624685359
0.7,3.5,-100.8747774,-0.624747094,6.2654e-05,0.62468444
0.7,3.55,-100.8747717,-0.624741114,5.7294e-05,0.624683819
0.7,3.6,-100.8747666,-0.624735688,5.2341e-05,0.624683347
0.7,3.65,-100.8747619,-0.624730682,4.7583e-05,0.624683099
0.7,3.7,-100.8747576,-0.62472639,4.3202e-05,0.624683188
0.7,3.75,-100.8747537,-0.624722544,3.8986e-05,0.624683558
0.7,3.8,-100.8747502,-0.62471918,3.5003e-05,0.624684177
0.7,3.85,-100.8747471,-0.624716285,3.1317e-05,0.624684967
0.7,3.9,-100.8747443,-0.624713471,2.7825e-05,0.624685646
0.7,3.95,-100.8747418,-0.624710985,2.4866e-05,0.624686119
0.7,4,-100.8747396,-0.624709082,2.2463e-05,0.624686619
0.75,0.5,-100.6584032,0.054658644,-0.660010567,0.605351923
0.75,0.55,-100.7127989,-0.078798544,-0.500348625,0.57914717
0.75,0.6,-100.7543497,-0.170074882,-0.385223925,0.555298807
0.75,0.65,-100.7865517,-0.233188233,-0.300608557,0.53379679
0.75,0.7,-100.8118267,-0.27719304,-0.237372166,0.514565206
0.75,0.75,-100.8318874,-0.308074857,-0.189403504,0.497478361
0.75,0.8,-100.8479669,-0.329854177,-0.15253058,0.482384757
0.75,0.85,-100.8609685,-0.345277154,-0.123847212,0.469124365
0.75,0.9,-100.8715628,-0.356251378,-0.10128397,0.457535348
0.75,0.95,-100.8802535,-0.3641158,-0.083340621,0.44745642
0.75,1,-100.8874225,-0.369811394,-0.068917916,0.438729311
0.75,1.05,-100.8933623,-0.373994928,-0.05720686,0.431201788
0.75,1.1,-100.8982995,-0.377120122,-0.047610371,0.424730492
0.75,1.15,-100.9024119,-0.379496757,-0.03968626,0.419183017
0.75,1.2,-100.9058413,-0.381334702,-0.033104375,0.414439077
0.75,1.25,-100.9087021,-0.382776351,-0.027614514,0.410390865
0.75,1.3,-100.911088,-0.383919158,-0.023023599,0.406942756
0.75,1.35,-100.9130764,-0.384831636,-0.019178982,0.404010619
0.75,1.4,-100.9147319,-0.385563361,-0.015957492,0.401520854
0.75,1.45,-100.9161083,-0.386151463,-0.013257961,0.399409423
0.75,1.5,-100.917251,-0.386625018,-0.010995765,0.397620783
0.75,1.55,-100.9181978,-0.387006424,-0.009100587,0.396107011
0.75,1.6,-100.9189804,-0.387314246,-0.007512619,0.394826865
0.75,1.65,-100.9196256,-0.387562688,-0.006182328,0.393745016
0.75,1.7,-100.9201555,-0.387763026,-0.005068312,0.392831337
0.75,1.75,-100.920589,-0.38792472,-0.00413541,0.39206013
0.75,1.8,-100.9209418,-0.388054195,-0.003355413,0.391409607
0.75,1.85,-100.9212272,-0.388157026,-0.002704229,0.390861255
0.75,1.9,-100.9214563,-0.388238091,-0.002161236,0.390399327
0.75,1.95,-100.9216385,-0.388300078,-0.001710398,0.390010476
0.75,2,-100.9217819,-0.388345796,-0.001337497,0.389683293
0.75,2.05,-100.9218933,-0.38837828,-0.001029771,0.389408051
0.75,2.1,-100.9219783,-0.388398748,-0.000777752,0.389176501
0.75,2.15,-100.9220418,-0.388408514,-0.000573114,0.388981628
0.75,2.2,-100.9220878,-0.388410026,-0.000407446,0.388817472
0.75,2.25,-100.9221198,-0.38840468,-0.000274356,0.388679036
0.75,2.3,-100.9221405,-0.388392796,-0.000169258,0.388562054
0.75,2.35,-100.9221525,-0.388375682,-8.72E-05,0.388462928
0.75,2.4,-100.9221576,-0.388355414,-2.33E-05,0.388378733
0.75,2.45,-100.9221574,-0.388332693,2.5618e-05,0.388307075
0.75,2.5,-100.9221531,-0.388307686,6.1763e-05,0.388245923
0.75,2.55,-100.922146,-0.388281464,8.7863e-05,0.388193601
